name|Зноб-Новгородська територіальна громада
region|Сумська область
id|id375
link|http://decentralization.gov.ua/region/common/id/96
"|"
"|"
Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей|4760
дошкільного віку|140
шкільного віку|422
Кількість населених пунктів, що входять до складу спроможної територіальної громади|27
Обсяг доходів (розрахунковий) спроможної територіальної громади  Центр громади - гривень, у тому числі|17010700
сформованих відповідно до статті 64 Бюджетного кодексу України|5713700
бюджету розвитку|-
базової дотації|1445100
реверсної дотації|-
Площа території спроможної територіальної громади  Центр громади - кв. км|4691
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|50
загальноосвітніх навчальних закладів I-III ступенів|4
загальноосвітніх навчальних закладів I-II ступенів|2
загальноосвітніх навчальних закладів I ступеня|2
дошкільних навчальних закладів|1
закладів позашкільної освіти|-
закладів культури|27
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|11
амбулаторій, поліклінік|1
лікарень|1
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|-
реєстрації актів цивільного стану та майнових прав|-
пенсійного забезпечення|-
соціального захисту|-
пожежної безпеки|Є
казначейського обслуговування|-
Наявність приміщень для розміщення органів місцевого самоврядування|Є
