name|Кролевецька територіальна громада
region|Сумська область
id|id378
link|http://decentralization.gov.ua/region/common/id/100
1|2
Поряд-ковий номер|Найменування територіальних громад та населених пунктів, що входять до їх складу, із зазначенням адміністративного статусу
Кролевецька ОТГ|38387
Кролевецька міська рада|23633
м.Кролевець|23633
Грузчанська сільська рада|806
с.Грузьке|787
с.Мостище|16
с.Тарасівка|3
Реутинська сільська рада|826
с.Реутинці|775
с.Боцманів|17
с.Грибаньове|1
с.Ніжинське|1
с.Артюхове|32
