name|Миропільська територіальна громада
region|Сумська область
id|id381
link|http://decentralization.gov.ua/region/common/id/1298
"|"
"|"
Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей|4428
дошкільного віку|289
шкільного віку|477
Кількість населених пунктів, що входять до складу спроможної територіальної громади|10
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень, у тому числі|15354700
сформованих відповідно до статті 64 Бюджетного кодексу України|7113653
бюджету розвитку|-
базової дотації|1799653
реверсної дотації|-
Площа території спроможної територіальної громади, кв. км|2986
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|29
загальноосвітніх навчальних закладів I-III ступенів|2
загальноосвітніх навчальних закладів I-II ступенів|2
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|1
закладів позашкільної освіти|-
закладів культури|15
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|7
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень для розміщення органів місцевого самоврядування|Є
