name|Мереф’янська територіальна громада
region|Харківська область
id|id422
link|http://decentralization.gov.ua/region/common/id/841
1|2
Найменування показника|Значення показника
1.Чисельність населення станом на 1 січня 2015 р.у тому числі дітей|25753
дошкільного віку|1394
шкільного віку|2696
2. Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
3. Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|58242557
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України  бюджету розвитку|29938800 0
базової дотації реверсної дотації|433500
4. Площа території спроможної територіальної громади, кв. кілометрів|9955
5. Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі|34
загальноосвітніх навчальних закладів І—III ступеня|8
загальноосвітніх навчальних закладів І—II ступеня|-
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|5
закладів позашкільної освіти|0
закладів культури|12
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|3
лікарень|1
станцій швидкої допомоги|-
6. Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|
7. Наявність приміщень для розміщення органів місцевого самоврядування|2
