name|Чкаловська територіальна громада
region|Харківська область
id|id426
link|http://decentralization.gov.ua/region/common/id/1250
Найменування показника|Значення показника
у тому числі дітей|1944
дошкільного віку|595
шкільного віку|1349
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|157273
бюджету розвитку|
базової дотації|
реверсної дотації|1841
+,- доход на розвиток громади (3-5.1)|+7488,2
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|5
загальноосвітніх навчальних закладів I-II ступеня|1
загальноосвітніх навчальних закладів І ступеня|
дошкільних навчальних закладів|
закладів позашкільної освіти|
закладів культури|13
закладів фізичної культури|
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|4
лікарень станцій швидкої допомоги|
правоохоронної діяльності|в наявності
реєстрації актів цивільного стану та майнових прав|в наявності
пенсійного забезпечення|в наявності
соціального захисту|в наявності
пожежної безпеки|в наявності
казначейського обслуговування|в наявності
