name|Ганнопільська територіальна громада
region|Хмельницька область
id|id444
link|http://decentralization.gov.ua/region/common/id/568
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей|6747
дошкільного віку|201
шкільного віку|667
Кількість населення пунктів, що входять до спроможної територіальної громади, од.|16
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|5398600
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|2983100
бюджет розвитку|4000
базової дотації|2411500
реверсної дотації|-
685662|
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|58
загальноосвітніх навчальних закладів І-ІІІ ступеня|7
загальноосвітніх навчальних закладів І-ІІ ступеня|2
загальноосвітніх навчальних закладів І-І ступеня|1
дошкільних навчальних закладів|7
закладів позашкільної освіти|
закладів культури|24
закладів фізичної культури|
фельдшерсько-акушерський пунктів|16
амбулаторії, поліклініки|1
лікарні|
станцій швидкої допомоги|
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|
реєстрації актів цивільного стану та майнових прав|в наявності
пенсійного забезпечення|в наявності
соціального захисту|в наявності
пожежної безпеки|в наявності
казначейського обслуговування|в наявності
7. Наявність приміщень для розміщення органів місцевого самоврядування|в наявності
