name|Китайгородська територіальна громада
region|Хмельницька область
id|id450
link|http://decentralization.gov.ua/region/common/id/803
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.|4515.0
у тому числі дітей|
дошкільного віку|242.0
шкільного віку|339.0
Кількість населених пунктів, що входять до складу спроможної територіальної громади|13.0
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|3522500.0
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|1757400.0
бюджету розвитку|
базової дотації|1765100.0
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|186734.0
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|
у тому числі|
загальноосвітніх навчальних закладів I-III ступеня|4.0
загальноосвітніх навчальних закладів I-II ступеня|3.0
загальноосвітніх навчальних закладів I ступеня|
дошкільних навчальних закладів|5.0
закладів позашкільної освіти|
закладів культури|19.0
закладів фізичної культури|
фельдшерсько-акушерських пунктів|8.0
амбулаторій, поліклінік|1.0
лікарень|
станцій швидкої допомоги|
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|6.0
правоохоронної діяльності|1.0
реєстрації актів цивільного стану та майнових прав|1.0
пенсійного забезпечення|1.0
соціального захисту|1.0
пожежної безпеки|1.0
казначейського обслуговування|1.0
Наявність приміщень для розміщення органів місцевого самоврядування|14.0
