name|Колибаївська територіальна громада
region|Хмельницька область
id|id451
link|http://decentralization.gov.ua/region/common/id/802
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.,|5611.0
у тому числі дітей|
дошкільного віку|385
шкільного віку|543
Кількість населених пунктів, що входять до складу спроможної територіальної громади|7.0
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|14434729.0
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|8838777
бюджету розвитку|2023152
базової дотації|3572800
реверсної дотації|-
Площа території спроможної територіальної громади, кв. кілометрів|7002.0
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|19.0
у тому числі|
загальноосвітніх навчальних закладів I—III ступеня|1
загальноосвітніх навчальних закладів I—II ступеня|3
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|4
закладів позашкільної освіти|-
закладів культури|5
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|6
амбулаторій, поліклінік|-
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|12.0
правоохоронної діяльності|2
реєстрації актів цивільного стану та майнових прав|2
пенсійного забезпечення|2
соціального захисту|2
пожежної безпеки|2
казначейського обслуговування|2
Наявність приміщень для розміщення органів місцевого самоврядування|3.0
