name|Летичівська територіальна громада
region|Хмельницька область
id|id453
link|http://decentralization.gov.ua/region/common/id/584
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 року,  в тому числі дітей|19838
дошкільного віку|1514
шкільного віку|1988
Кількість населених пунктів, що входять до складу спроможної територіальної громади|45
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|23019300
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|16297400
бюджету розвитку|2683300
базової дотації|4038600
реверсної дотації|-
Площа спроможної території громади, кв. кілометрів|53197
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|113
у тому числі:числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|8
загальноосвітніх навчальних закладів І-ІІ ступеня|3
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|14
закладів позашкільної освіти|2
закладів культури|52
закладів фізичної культури|2
фельдшерсько-акушерських пунктів|27
амбулаторій, поліклінік|3
лікарень|1
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|1
реєстрації актів громадянського стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|3
пожежної безпеки|3
казначейського обслуговування|1
Наявність приміщень, придатних для розміщення органів місцевого самоврядування|2
