name|Лісовогринівецька територіальна громада
region|Хмельницька область
id|id454
link|http://decentralization.gov.ua/region/common/id/585
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.,|8503
у тому числі дітей|
дошкільного віку|441
шкільного віку|639
Кількість населених пунктів, що входять до складу спроможної територіальної громади|14
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|8375800
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|6025500
бюджету розвитку|100000
базової дотації|2250300
реверсної дотації|-
Площа території спроможної територіальної громади, кв. кілометрів|257986
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|38
у тому числі|
загальноосвітніх навчальних закладів I-III ступеня|4
загальноосвітніх навчальних закладів I-II ступеня|4
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|4
закладів позашкільної освіти|
закладів культури|21
закладів фізичної культури|
фельдшерсько-акушерських пунктів|10
амбулаторій, поліклінік|3
лікарень|
станцій швидкої допомоги|
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|в наявності
реєстрації актів цивільного стану та майнових прав|в наявності
пенсійного забезпечення|в наявності
соціального захисту|в наявності
пожежної безпеки|в наявності
казначейського обслуговування|в наявності
Наявність приміщень для розміщення органів місцевого самоврядування|в наявності
