name|Маківська територіальна громада
region|Хмельницька область
id|id455
link|http://decentralization.gov.ua/region/common/id/586
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р.|7690
у тому числі дітей|
дошкільного віку|388
шкільного віку|600
Кількість населених пунктів, що входять до складу спроможної територіальної громади|8
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|17185800
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|5278300
бюджету розвитку|2172500
базової дотації|2835900
реверсної дотації|
Площа території спроможної територіальної громади, кв. кілометрів|10363
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|24
у тому числі|
загальноосвітніх навчальних закладів I—III ступеня|2
загальноосвітніх навчальних закладів I—II ступеня|3
загальноосвітніх навчальних закладів I ступеня|
дошкільних навчальних закладів|3
закладів позашкільної освіти|
закладів культури|9
закладів фізичної культури|
фельдшерсько-акушерських пунктів|5
амбулаторій, поліклінік|1
лікарень|
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Так
реєстрації актів цивільного стану та майнових прав|Так
пенсійного забезпечення|Так
соціального захисту|Так
пожежної безпеки|Так
казначейського обслуговування|Так
Наявність приміщень для розміщення органів місцевого самоврядування|Так
