name|Меджибізька територіальна громада
region|Хмельницька область
id|id456
link|http://decentralization.gov.ua/region/common/id/587
Найменування показника|Значення показника
дошкільного віку|445
шкільного віку|732
сформованих відповідно до статті 64 Бюджетного кодексу України|
бюджету розвитку|12420
базової дотації|25491
реверсної дотації|-
загальноосвітніх навчальних закладів І-ІІІ ступеня|5
загальноосвітніх навчальних закладів І-ІІ ступеня|3
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|8
закладів позашкільної освіти|1
закладів культури|23
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|9
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
правоохоронної діяльності|1
реєстрації актів громадянського стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
