name|Розсошанська територіальна громада
region|Хмельницька область
id|id461
link|http://decentralization.gov.ua/region/common/id/801
1|2
Найменування показника|Значенняпоказника
Чисельність населення станомна 1 січня 2015р.,|4481
у томучислідітей|834
дошкільноговіку|282
шкільноговіку|552
Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|13114900
у томучислі|
сформованих відповіднодо статті 64 Бюджетного кодексу України|6560200
бюджету розвитку|
базової дотації|0
реверсноїдотації|191500
Площа території спроможної територіальної громади, кв. кілометрів|1002
Кількістьзакладів, що утримуються за рахунок бюджету органів місцевого самоврядування|19
у тому числі|
загальноосвітніх навчальних закладів I—IIIступеня|2
загально освітніх навчальних закладів I—II ступеня|1
загальноосвітніх навчальних закладів Iступеня|-
дошкільних навчальних закладів|2
закладів позашкільної освіти|-
закладів культури|8
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|Так
реєстрації актівцивільного стану та майнових прав|Так
пенсійного забезпечення|Так
соціального захисту|Так
пожежноїбезпеки|Так
казначейського обслуговування|Так
Наявність приміщень для розміщення органів місцевого самоврядування|Так
