name|Білозірська територіальна громада
region|Черкаська область
id|id467
link|http://decentralization.gov.ua/region/common/id/475
Найменування показника|Значення показника
дошкільного віку|658
шкільного віку|664
сформованих відповідно до статті 64 Бюджетного кодексу України|65627
бюджету розвитку|617
базової дотації|23447
реверсної дотації|-
загальноосвітніх навчальних закладів I-III ступеня|3
загальноосвітніх навчальних закладів I-II ступеня|
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|2
закладів позашкільної освіти|-
закладів культури|6
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|1
амбулаторій, поліклінік|1
лікарень|-
станцій швидкої допомоги|-
правоохоронної діяльності|1
реєстрації актів цивільного стану та  майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
