name|Єрківська територіальна громада
region|Черкаська область
id|id468
link|http://decentralization.gov.ua/region/common/id/556
Найменування показника|Значення показника
дошкільного віку|162
шкільного віку|438
сформованих відповідно до статті 64 Бюджетного кодексу України|7803630
бюджету розвитку|1131161
базової дотації|143755
реверсної дотації|379169
загальноосвітніх навчальних закладів I- III ступеня|1
загальноосвітніх навчальних закладів I- II ступеня|
загальноосвітніх навчальних закладів I ступеня|1
дошкільних навчальних закладів|2
закладів позашкільної освіти|0
закладів культури|2
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|1
амбулаторій, поліклінік|1
лікарень|0
станцій швидкої допомоги|0
правоохоронної діяльності|
реєстрації актів цивільного стану та  майнових прав|
пенсійного забезпечення|
соціального захисту|
пожежної безпеки|
казначейського обслуговування|
