name|Мокрокалигірська територіальна громада
region|Черкаська область
id|id469
link|http://decentralization.gov.ua/region/common/id/518
Найменування показника|Значення показника
дошкільного віку|123
шкільного віку|371
сформованих відповідно до статті 64 Бюджетного кодексу України|
бюджету розвитку|
базової дотації|
реверсної дотації|
загальноосвітніх навчальних закладів I— III ступеня|2
загальноосвітніх навчальних закладів I— II ступеня|-
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|4
закладів позашкільної освіти|-
закладів культури (БК 4, бібліотеки 4, музична школа 1)|9
закладів фізичної культури|
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
правоохоронної діяльності|є
реєстрації актів цивільного стану та  майнових прав|є
пенсійного забезпечення|є
соціального захисту|є
пожежної безпеки|є
казначейського обслуговування|є
