name|Вашковецька територіальна громада
region|Чернівецька область
id|id478
link|http://decentralization.gov.ua/region/common/id/358
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 року|5443
у  тому  числі  дітей|1144
дошкільного віку|440
шкільного віку|704
Кількість населених пунктів, що входять до складу спроможної територіальної громади|5
Обсяг доходів (розрахунковий) спроможної територіальної громади, тис.грн.|37670
у тому числі|
сформованих відповідно до статті 64 Бюджетного Кодексу України|17370
бюджету розвитку|-
базової дотації|20300
реверсної дотації|-
Площа території спроможної територіальної громади кв. кілометрів|58.67
Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|12
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|2
загальноосвітніх навчальних закладів І-ІІ ступеня|-
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|2
закладів позашкільної освіти|-
закладів культури|3
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо|3
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень  для розміщення органів місцевого самоврядування|Є
