name|Волоківська територіальна громада
region|Чернівецька область
id|id481
link|http://decentralization.gov.ua/region/common/id/361
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 року|6319
у  тому  числі  дітей|1255
дошкільного віку|464
шкільного віку|791
Кількість населених пунктів, що входять до складу спроможної територіальної громади|3
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|71830
у тому числі|
сформованих відповідно до статті 64 Бюджетного Кодексу України|43708
бюджету розвитку|-
базової дотації|28122
реверсної дотації|0
Площа території спроможної територіальної громади кв. кілометрів|560
Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|10
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|1
загальноосвітніх навчальних закладів І-ІІ ступеня|2
загальноосвітніх навчальних закладів І ступеня|0
дошкільних навчальних закладів|3
закладів позашкільної освіти|-
закладів культури|5
закладів фізичної культури|5
фельдшерсько-акушерських пунктів|-
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень  для розміщення органів місцевого самоврядування|Є
