name|Глибоцька територіальна громада
region|Чернівецька область
id|id482
link|http://decentralization.gov.ua/region/common/id/363
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 року|10857
у  тому  числі  дітей|1743
дошкільного віку|389
шкільного віку|1354
Кількість населених пунктів, що входять до складу спроможної територіальної громади|3
Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень|
у тому числі|
сформованих відповідно до статті 64 Бюджетного Кодексу України|
бюджету розвитку|
базової дотації|
реверсної дотації|
Площа території спроможної територіальної громади кв. кілометрів|68406
Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|14
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|2
загальноосвітніх навчальних закладів І-ІІ ступеня|2
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|3
закладів позашкільної освіти|-
закладів культури|4
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|1
Лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень  для розміщення органів місцевого самоврядування|Є
