name|Клішковецька територіальна громада
region|Чернівецька область
id|id483
link|http://decentralization.gov.ua/region/common/id/367
Найменування показника|Значення показника
у тому числі дітей|1242
дошкільного віку|490
шкільного віку|752
у тому числі|
сформованих відповідно до статті 64 Бюджетного кодексу України|2452811
бюджету розвитку|-
базової дотації|3276211
реверсної дотації|-
у тому числі|
загальноосвітніх навчальних закладів I - III ступеня|1
загальноосвітніх навчальних закладів I - II ступеня|-
загальноосвітніх навчальних закладів I ступеня|2
дошкільних навчальних закладів|-
навчально-виховний комплекс|2
закладів позашкільної освіти|1
закладів культури|6
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|1
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|1
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
