name|Недобоївська територіальна громада
region|Чернівецька область
id|id487
link|http://decentralization.gov.ua/region/common/id/374
Найменування показника|Значення показника
у тому числі дітей|1082
дошкільного віку|435
шкільного віку|647
у тому числі|-
сформованих відповідно до статті 64 Бюджетного кодексу України|2334820
бюджету розвитку|-
базової дотації|3454194
реверсної дотації|-
у тому числі|-
загальноосвітніх навчальних закладів I - III ступеня|-
загальноосвітніх навчальних закладів I - II ступеня|2
загальноосвітніх навчальних закладів I ступеня|-
дошкільних навчальних закладів|2
навчально-виховний комплекс|2
закладів позашкільної освіти|-
закладів культури|7
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|-
амбулаторій|2
лікарень|-
станцій швидкої допомоги|-
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
