name|Рукшинська територіальна громада
region|Чернівецька область
id|id488
link|http://decentralization.gov.ua/region/common/id/381
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 року|6886
у  тому  числі  дітей|1367
дошкільного віку|240
шкільного віку|771
Кількість населених пунктів, що входять до складу спроможної територіальної громади|6
Обсяг доходів (розрахунковий) спроможної територіальної громади, тис.грн.|53554
у тому числі|
сформованих відповідно до статті 64 Бюджетного Кодексу України|20027
бюджету розвитку|38
базової дотації|33147
реверсної дотації|-
Площа території спроможної територіальної громади кв. кілометрів|10857
Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|29
у тому числі|-
загальноосвітніх навчальних закладів І-ІІІ ступеня|2
загальноосвітніх навчальних закладів І-ІІ ступеня|1
загальноосвітніх навчальних закладів І ступеня|2
дошкільних навчальних закладів|4
навчально-виховний комплекс|1
закладів позашкільної освіти|-
закладів культури|12
закладів фізичної культури|-
фельдшерсько-акушерських пунктів|5
амбулаторій, поліклінік|2
лікарень|-
станцій швидкої допомоги|-
Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень  для розміщення органів місцевого самоврядування|Є
