name|Сокирянська територіальна громада
region|Чернівецька область
id|id490
link|http://decentralization.gov.ua/region/common/id/382
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 року|11469
у  тому  числі  дітей|2271
дошкільного віку|863
шкільного віку|1408
Кількість населених пунктів, що входять до складу спроможної територіальної громади|2
Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень|
у тому числі|
сформованих відповідно до статті 64 Бюджетного Кодексу України тис.грн.|11 963,1
бюджету розвитку тис.грн.|1219
базової дотації|
реверсної дотації|
Площа території спроможної територіальної громади кв. кілометрів|38
Кількість закладів, що утримуються за рахунок бюджетів органів місцевого самоврядування|
у тому числі|
загальноосвітніх навчальних закладів І-ІІІ ступеня|3
загальноосвітніх навчальних закладів І-ІІ ступеня|-
загальноосвітніх навчальних закладів І ступеня|-
дошкільних навчальних закладів|3
закладів позашкільної освіти|3
закладів культури|7
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|-
амбулаторій, поліклінік|1
лікарень|1
станцій швидкої допомоги|2
Наявність приміщень для розміщення державних органів,  установ, що здійснюють повноваження щодо|є
правоохоронної діяльності|Є
реєстрації актів цивільного стану та майнових прав|Є
пенсійного забезпечення|Є
соціального захисту|Є
пожежної безпеки|Є
казначейського обслуговування|Є
Наявність приміщень  для розміщення органів місцевого самоврядування|Є
