name|Апостолівська територіальна громада
region|Дніпропетровська область
id|id145
link|http://decentralization.gov.ua/region/common/id/736
1|2
Найменування показника|Значення показника
Кількість населення станом на 1 січня 2017 року, в тому числі|24462.0
дітей дошкільного віку|1905
дітей шкільного віку|2541
Кількість населених пунктів, що входять до спроможної територіальної громади, всього, тис. грн, у тому числі|20.0
Обсяг доходів (розрахунковий) спроможної територіальної громади, всього, тис. грн, у тому числі|1560758.0
сформованих відповідно до статті 64  Бюджетного кодексу України;|6899004
бюджету розвитку|6000
базової дотації;|12413
реверсної дотації.|0
Площа території громади, кв.км|67949.0
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі|79.0
школи І-ІІІ ступенів|12
школи І-ІІ ступенів|2
школи І ступеня|0
дитячі садки|9
заклади позашкільної освіти|1
культури|27
фізичної культури|-
фельдшерсько-акушерські пункти|21
амбулаторії, поліклініки|6
лікарні|1
пунктів постійного базування станції|-
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|10.0
правоохоронної діяльності|4
реєстрації актів цивільного стану та майнових прав|2
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейства|1
Наявність приміщень для розміщення органів місцевого самоврядування, усього одиниць|10.0
