name|Великомихайлівська територіальна громада
region|Дніпропетровська область
id|id152
link|http://decentralization.gov.ua/region/common/id/1263
1|2
Найменування показника|Значення показника
Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей|3987.0
дошкільного віку|190
шкільного віку|326
Кількість населених пунктів, що входять до складу спроможної територіальної громади|2.0
Обсяг доходів (розрахунковий) спроможної територіальної громади, усього, тис. грн,   у тому числі|52344.0
сформованих відп. до ст. 64 Бюджетного кодексу України|52344
бюджету розвитку|00
базової дотації|00
реверсної дотації|00
Площа території спроможної територіальної громади, кв. кілометрів|1466.0
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі|12.0
загальноосвітніх навчальних закладів I – III ступенів|1
загальноосвітніх навчальних закладів I – ІI ступенів|1
загальноосвітніх навчальних закладів I ступеня|0
дошкільних навчальних закладів|2
закладів позашкільної освіти|0
закладів культури|4
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|2
амбулаторій, поліклінік|1
лікарень|0
пунктів постійного базування|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|7.0
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|2
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування, усього одиниць|2.0
