name|Солонянська територіальна громада
region|Дніпропетровська область
id|id173
link|http://decentralization.gov.ua/region/common/id/727
"|"
"|"
Чисельність населення станом на 01 січня 2015 року, осіб, у тому числі дітей|14456.0
дошкільного віку|493
шкільного віку|1419
Кількість населених пунктів, що входять до складу спроможної територіальної громади|18.0
Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. грн, у тому числі|198587.0
сформованих відп. до ст. 64 Бюджетного кодексу України|173299
бюджету розвитку|11179
базової дотації|0
реверсної дотації|14109
Площа території спроможної територіальної громади, кв. км|3330.0
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, усього одиниць, у тому числі|39.0
загальноосвітніх навчальних закладів I – III ступенів|5
загальноосвітніх навчальних закладів I – ІI ступенів|3
загальноосвітніх навчальних закладів I ступеня|0
дошкільних навчальних закладів|7
закладів позашкільної освіти|1
закладів культури|10
закладів фізичної культури|2
фельдшерсько-акушерських пунктів|8
амбулаторій, поліклінік|1
лікарень|1
пунктів постійного базування|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|8.0
правоохоронної діяльності|2
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|2
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування, всього одиниць|4.0
