name|Тячівська територіальна громада
region|Закарпатська область
id|id183
link|http://decentralization.gov.ua/region/common/id/742
1|2
№ з/п|Найменуванняпоказника
|
Кількістьнаселення станом на 1 січня 2015 року, в тому числі|15798
|
дітейдошкільноговіку|1541
дітейшкільноговіку|2978
Кількістьнаселенихпунктів, щовходять до спроможноїтериторіальноїгромади|5
|
Обсягдоходів (розрахунковий) спроможноїтериторіальноїгромади, грн.у тому числі|287345
|
сформованихвідповідно до статті 64 Бюджетного кодексу України|281118
бюджету розвитку|6228
базовоїдотації|0
реверсноїдотації|0
Площатериторіїспроможноїтериторіальноїгромади, км2|91346
|
Кількістьзакладів, щоутримуються за рахунок бюджету органівмісцевогосамоврядування|38
|
школи I-III ступеня|6
школи I-II ступеня|2
школи I ступеня|0
дитячі садки|5
закладипозашкільноїосвіти|1
культури|9
фізичноїкультури|1
фельдшерсько-акушерськіпункти|2
амбулаторії, поліклініки|4
лікарні|1
станціїшвидкоїдопомоги|1
Наявністьдержавнихорганів, установ, щоутримуються за рахунокдержавного бюджету|10
|
правоохоронніоргани|3
реєстраціяактівгромадянського стану та майнових прав|3
пенсійніфонди|1
соціальнийзахист|1
протипожежнабезпека|1
казначейство|1
Наявністьприміщень, придатних для розміщення|3
органимісцевогосамоврядування|
державніоргани|
