name|Берестівська територіальна громада
region|Запорізька область
id|id184
link|http://decentralization.gov.ua/region/common/id/416
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р. у тому числі дітей|4 842
дошкільного віку|195
шкільного віку|619
Кількість населених пунктів, що входять до складу спроможної територіальної громади|11
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень  у тому числі|14 055 300
сформованих відповідно до статті 64 Бюджетного кодексу України|7 815 000
базової дотації|0
реверсної дотації|0
Площа території спроможної територіальної громади, кв. кілометрів|49815
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі|20
загальноосвітніх навчальних закладів I—III ступеня|3
загальноосвітніх навчальних закладів I—II ступеня|0
загальноосвітніх навчальних закладів I ступеня|0
дошкільних навчальних закладів|3
закладів позашкільної освіти|0
закладів культури|7
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|2
лікарень|0
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування|1
