name|Веселівська територіальна громада
region|Запорізька область
id|id188
link|http://decentralization.gov.ua/region/common/id/421
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р. у тому числі дітей|12 718
дошкільного віку|704
шкільного віку|1 220
Кількість населених пунктів, що входять до складу спроможної територіальної громади|9
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень  у тому числі|12 679 053
сформованих відповідно до статті 64 Бюджетного кодексу України|0
базової дотації|19523
реверсної дотації|0
Площа території спроможної територіальної громади, кв. кілометрів|43834
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі|29
загальноосвітніх навчальних закладів I-III ступеня|1
загальноосвітніх навчальних закладів I-II ступеня|1
загальноосвітніх навчальних закладів I ступеня|3
дошкільних навчальних закладів|3
закладів позашкільної освіти|1
закладів культури|8
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|5
амбулаторій, поліклінік|5
лікарень|1
станцій швидкої допомоги|0
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування|3
