name|Воскресенська територіальна громада
region|Запорізька область
id|id190
link|http://decentralization.gov.ua/region/common/id/743
1|2
№ з/п|Найменування показника
Чисельність населення станом на 1 січня 2015 року, у тому числі дітей|5 829
дошкільного віку|242
шкільного віку|524
Кількість населених пунктів, що входять до складу спроможної територіальної громади|4
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень, у тому числі|9 418 500
сформованих відповідно до статті 64 Бюджетного кодексу України|11 345 322
бюджет розвитку|0
базової дотації|0
реверсної дотації|1 926 822
Площа території спроможної територіальної громади, кв. кілометрів|26470
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|14
загальноосвітніх навчальних закладів I—III ступеня|2
загальноосвітніх навчальних закладів I—II ступеня|1
загальноосвітніх навчальних закладів I ступеня|0
дошкільних навчальних закладів|2
закладів позашкільної освіти|0
закладів культури|6
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|1
амбулаторій, поліклінік|2
лікарень|0
станцій швидкої допомоги|0
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування|1
