name|Долинська територіальна громада
region|Запорізька область
id|id193
link|http://decentralization.gov.ua/region/common/id/1251
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2016 р., у тому числі дітей|5 849
дошкільного віку|330
шкільного віку|626
Кількість населених пунктів, що входять до складу спроможної територіальної громади|9
Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень, утому числі|20 127 343
сформованих відповідно до статті 64 Бюджетного кодексу України|11348 074
бюджет розвитку|8 779 269
базової дотації|0
реверсної дотації|0
Площа території спроможної територіальної громади, кв. кілометрів|1700
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|25
загальноосвітніх навчальних закладів І—III ступеня|2
загальноосвітніх навчальних закладів І—II ступеня|1
загальноосвітніх навчальних закладів І ступеня|0
дошкільних навчальних закладів|2
закладів позашкільної освіти|0
закладів культури|14
закладів фізичної культури|0
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|2
лікарень|0
станцій швидкої допомоги|0
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|
реєстрації актів цивільного стану та майнових прав|
пенсійного забезпечення|
соціального захисту|
пожежної безпеки|
казначейського обслуговування|
Наявність приміщень для розміщення органів місцевого самоврядування|2
