name|Осипенківська територіальна громада
region|Запорізька область
id|id199
link|http://decentralization.gov.ua/region/common/id/451
1|2
Найменування показника|Значення показника
Чисельність населення станом на 1 січня 2015 р., у тому числі дітей|7 981
дошкільного віку|743
шкільного віку|795
Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
Обсяг доходів (розрахунковий) спроможної територіальної громади (гривень), у тому числі|9 969 699
сформованих відповідно до статті 64 Бюджетного кодексу України|9 671 596
бюджету розвитку|298 103
базової дотації|0
реверсної дотації|0
Площа території спроможної територіальної громади, кв. кілометрів|41960
Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі|32
загальноосвітніх навчальних закладів I—III ступеня|3
загальноосвітніх навчальних закладів I—II ступеня|2
загальноосвітніх навчальних закладів I ступеня|0
дошкільних навчальних закладів|4
закладів позашкільної освіти|1
закладів культури|13
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|4
амбулаторій, поліклінік|3
лікарень|0
станцій швидкої допомоги|1
Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо|6
правоохоронної діяльності|1
реєстрації актів цивільного стану та майнових прав|1
пенсійного забезпечення|1
соціального захисту|1
пожежної безпеки|1
казначейського обслуговування|1
Наявність приміщень для розміщення органів місцевого самоврядування|1
