name|region|link|population|children|pupils|settl_num|revenue|rev_budg_ua|budget|dotation|dot_reverse|area|inst_num|school_13|school_12|school_1|kindergart|extracur|culture|physical|med_assist|dispensary|clinic|ambulance|build_gen|court|civil_prop|retirement|social_prot|fire_secur|treasury|local_govern|
Бабчинецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/341||||||||||||||||||||||||||||||||
Барська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/248||||||||||||||||||||||||||||||||
Вапнярська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/326|8364|566|920|2|12673223|12573223|100000|0|0|341|18||||3|1|4|1|2|2|1|1||true|true|true|true|true|true|||
Вороновицька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/262||||||||||||||||||||||||||||||||
Дашівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/352||||||||||||||||||||||||||||||||
Джулинська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/255||||||||||||||||||||||||||||||||
Жданівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/338||||||||||||||||||||||||||||||||
Іллінецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/353||1382||20|36769000||5 165 000|0|0|332|||||11|1|14|5|15|3|1|1||true|true|true|true|true|true|true||
Калинівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/279|19985|1365|2309|5|10856488|10136488     720000|10136488     720000|10136488     720000|10136488     720000|8837|22|4|1||8|1|2|2|1|2|1|0||true|true|true|true|true|true|true||
Ковалівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/306||||||||||||||||||||||||||||||||
Кунківська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/1346||||||||||||||||||||||||||||||||
Мельниківська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/309||||||||||||||||||||||||||||||||
Мурафська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/348||||||||||||||||||||||||||||||||
Немирівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/310||||||||||||||||||||||||||||||||
Оратівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/312||||||||||||||||||||||||||||||||
Райгородська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/1320||||||||||||||||||||||||||||||||
Северинівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/277||||||||||||||||||||||||||||||||
Ситковецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/311||||||||||||||||||||||||||||||||
